dataset,setting,present
gsm8k,h2o_20,True
gsm8k,h2o_40,True
gsm8k,h2o_60,True
gsm8k,kvquant_2bit,True
gsm8k,kvquant_3bit,True
gsm8k,kvquant_4bit,True
arc_challenge,h2o_20,True
arc_challenge,h2o_40,True
arc_challenge,h2o_60,True
arc_challenge,kvquant_2bit,True
arc_challenge,kvquant_3bit,True
arc_challenge,kvquant_4bit,True
hellaswag,h2o_20,True
hellaswag,h2o_40,True
hellaswag,h2o_60,True
hellaswag,kvquant_2bit,True
hellaswag,kvquant_3bit,True
hellaswag,kvquant_4bit,True
wikitext103,h2o_20,True
wikitext103,h2o_40,True
wikitext103,h2o_60,True
wikitext103,kvquant_2bit,True
wikitext103,kvquant_3bit,True
wikitext103,kvquant_4bit,True
